,"工業生產指數(年增率)"
,,,,,,,,,,,,,,,,,,,"單位：基期=105年"
"統計期","總指數","年增率(%)","總指數(不含土石採取業)","年增率(%)","礦業及土石採取業","年增率(%)","製造業","年增率(%)","金屬機電工業","年增率(%)","資訊電子工業","年增率(%)","化學工業","年增率(%)","民生工業","年增率(%)","電力及燃氣供應業","年增率(%)","用水供應業","年增率(%)",
"107年8月","112.72","1.11","112.75","1.11","90.50","-9.55","112.65","1.58","109.44","0.61","115.90","2.41","107.38","-0.73","112.77","3.78","115.34","-3.76","104.40","-0.68",
"107年9月","111.55","1.66","111.57","1.67","95.34","-5.14","111.83","2.03","101.99","-2.88","123.12","6.16","99.76","0.02","101.25","-3.18","109.75","-2.41","100.59","-0.23",
"107年10月","116.95","8.78","116.97","8.77","102.11","13.64","118.21","9.81","109.20","8.22","129.18","11.55","104.44","6.47","110.68","13.65","102.92","-3.53","99.88","-3.70",
"107年11月","111.84","2.59","111.85","2.57","97.07","1.39","113.12","2.74","106.64","-2.55","119.97","3.85","104.13","4.54","110.38","6.93","97.44","0.37","95.73","-3.22",
"107年12月","110.49","-1.06","110.49","-1.06","106.03","4.22","111.68","-1.22","105.79","-3.77","119.12","-0.53","100.43","-2.32","109.46","5.12","96.02","0.88","103.43","-1.79",
"108年","108.45","-0.35","108.47","-0.34","90.96","-3.66","108.92","-0.45","99.49","-6.41","117.58","2.93","100.31","-2.23","104.29","-0.59","103.79","1.14","101.75","0.36",
"108年1月","107.20","-1.26","107.20","-1.26","98.23","1.46","108.05","-1.35","107.58","-2.75","107.09","-2.52","105.54","-2.70","115.13","8.61","97.03","-0.04","102.10","-1.73",
"108年2月","85.59","-2.44","85.61","-2.44","71.10","2.94","85.84","-2.48","79.94","-1.17","88.24","-4.57","88.93","-0.76","77.86","0.70","82.55","-2.06","91.53","-1.28",
"108年3月","104.23","-9.52","104.24","-9.55","91.17","-1.38","104.81","-10.24","103.37","-10.49","107.57","-12.36","99.49","-6.65","103.20","-5.84","97.55","0.68","100.98","-2.60",
"108年4月","103.66","0.90","103.68","0.91","88.61","-0.45","104.05","0.70","102.24","0.35","106.55","-0.80","99.30","1.79","103.22","6.58","99.70","3.92","100.30","-0.17",
"108年5月","108.54","-2.58","108.55","-2.57","95.69","-9.84","108.62","-2.56","104.88","-8.35","110.42","-1.68","107.87","2.21","106.26","-4.55","108.61","-2.56","103.64","-2.30",
"108年6月","106.64","-0.74","106.69","-0.71","85.81","-7.92","106.32","-1.04","98.43","-9.85","113.46","3.90","100.63","-0.62","99.18","-6.40","112.25","3.30","102.11","0.23",
"108年7月","113.69","4.05","113.73","4.06","91.34","-4.20","113.36","4.13","104.37","-5.11","120.27","9.83","107.33","1.25","109.99","2.45","120.13","3.82","104.25","0.27",
"108年8月","115.57","2.53","115.64","2.56","83.53","-7.70","115.39","2.43","98.23","-10.24","130.27","12.40","103.00","-4.08","106.65","-5.43","120.73","4.67","103.52","-0.84",
"108年9月","110.85","-0.63","110.89","-0.61","85.31","-10.52","111.31","-0.46","93.84","-7.99","129.95","5.55","93.33","-6.45","98.20","-3.01","106.99","-2.51","100.99","0.40",
"108年10月","113.95","-2.57","113.95","-2.58","96.72","-5.28","114.69","-2.98","99.61","-8.78","130.01","0.64","98.07","-6.10","108.66","-1.83","106.00","2.99","103.87","3.99",
"108年11月","114.05","1.98","114.06","1.98","97.50","0.44","115.51","2.11","97.41","-8.66","133.02","10.88","98.07","-5.82","107.64","-2.48","96.94","-0.51","101.43","5.95",
"108年12月","117.44","6.29","117.44","6.29","106.47","0.41","119.12","6.66","104.00","-1.69","134.06","12.54","102.20","1.76","115.43","5.45","96.99","1.01","106.24","2.72",
"109年","116.13","7.08","116.11","7.04","106.63","17.23","117.15","7.56","98.19","-1.31","139.28","18.46","95.32","-4.97","101.34","-2.83","105.01","1.18","103.07","1.30",
"109年1月","105.55","-1.54","105.55","-1.54","93.66","-4.65","106.63","-1.31","86.78","-19.33","123.71","15.52","97.48","-7.64","89.88","-21.93","92.74","-4.42","103.40","1.27",
"109年2月","103.76","21.23","103.74","21.18","98.93","39.14","104.79","22.08","93.22","16.61","116.65","32.20","94.97","6.79","93.76","20.42","91.83","11.24","94.95","3.74",
"109年3月","116.60","11.87","116.58","11.84","108.42","18.92","118.10","12.68","103.89","0.50","136.64","27.02","97.95","-1.55","104.00","0.78","99.46","1.96","102.89","1.89",
"109年4月","108.08","4.26","108.03","4.20","111.18","25.47","109.23","4.98","92.96","-9.08","128.52","20.62","90.60","-8.76","93.87","-9.06","94.22","-5.50","100.12","-0.18",
"109年5月","110.40","1.71","110.37","1.68","106.73","11.54","110.68","1.90","89.69","-14.48","133.19","20.62","89.74","-16.81","96.19","-9.48","107.49","-1.03","103.54","-0.10",
"109年6月","114.32","7.20","114.30","7.13","106.56","24.18","114.45","7.65","92.63","-5.89","139.43","22.89","90.54","-10.03","96.93","-2.27","113.98","1.54","102.02","-0.09",
"109年7月","117.08","2.98","117.07","2.94","106.21","16.28","116.80","3.03","96.41","-7.63","137.73","14.52","96.65","-9.95","105.86","-3.75","121.85","1.43","105.82","1.51",
"109年8月","120.29","4.08","120.30","4.03","101.61","21.64","120.69","4.59","95.15","-3.14","148.90","14.30","92.18","-10.50","106.15","-0.47","117.40","-2.76","105.00","1.43",
"109年9月","123.81","11.69","123.82","11.66","106.18","24.46","125.03","12.33","101.60","8.27","153.19","17.88","95.76","2.60","107.47","9.44","111.45","4.17","102.05","1.05",
"109年10月","121.29","6.44","121.28","6.43","106.03","9.63","122.59","6.89","101.04","1.44","148.63","14.32","96.71","-1.39","103.55","-4.70","107.06","1.00","106.61","2.64",
"109年11月","122.88","7.74","122.84","7.70","113.35","16.26","124.78","8.03","105.70","8.51","149.41","12.32","99.28","1.23","105.49","-2.00","101.40","4.60","103.42","1.96",
"109年12月","129.52","10.29","129.49","10.26","120.64","13.31","131.99","10.80","119.24","14.65","155.36","15.89","102.00","-0.20","112.98","-2.12","101.25","4.39","106.96","0.68",
"110年","131.71","13.42","131.73","13.45","110.76","3.87","133.86","14.26","113.79","15.89","163.10","17.10","102.15","7.17","109.81","8.36","109.39","4.17","100.47","-2.52",
"110年1月","126.34","19.70","126.30","19.66","122.03","30.29","128.67","20.67","112.35","29.47","151.97","22.84","103.03","5.69","109.24","21.54","100.38","8.24","104.19","0.76",
"110年2月","106.80","2.93","106.79","2.94","96.45","-2.51","108.71","3.74","89.62","-3.86","133.95","14.83","85.94","-9.51","83.54","-10.90","85.42","-6.98","93.48","-1.55",
"110年3月","136.10","16.72","136.10","16.74","121.62","12.17","139.31","17.96","119.98","15.49","168.97","23.66","106.21","8.43","114.25","9.86","101.49","2.04","101.79","-1.07",
"110年4月","123.64","14.40","123.60","14.41","118.97","7.01","125.76","15.13","111.84","20.31","147.86","15.05","100.02","10.40","106.46","13.41","100.68","6.86","95.21","-4.90",
"110年5月","129.48","17.28","129.48","17.31","113.80","6.62","130.74","18.12","115.63","28.92","153.06","14.92","105.80","17.90","111.26","15.67","117.22","9.05","98.69","-4.68",
"110年6月","135.06","18.14","135.12","18.22","101.23","-5.00","137.11","19.80","116.14","25.38","167.64","20.23","103.63","14.46","112.86","16.43","115.04","0.93","97.54","-4.39",
"110年7月","134.39","14.78","134.42","14.82","108.05","1.73","135.49","16.00","118.92","23.35","160.90","16.82","106.97","10.68","113.18","6.91","124.40","2.09","104.65","-1.11",
"110年8月","136.55","13.52","136.61","13.56","100.80","-0.80","138.05","14.38","116.56","22.50","168.40","13.10","105.56","14.52","113.67","7.08","122.55","4.39","104.61","-0.37",
"110年9月","138.76","12.07","138.80","12.10","102.84","-3.15","140.78","12.60","113.59","11.80","179.04","16.87","101.48","5.97","109.66","2.04","119.09","6.86","101.20","-0.83",
"110年10月","135.60","11.80","135.64","11.84","103.07","-2.79","137.46","12.13","114.44","13.26","170.62","14.80","100.67","4.09","113.30","9.42","117.34","9.60","102.79","-3.58",
